Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2012-02-07,3193.871,454.4524,293.6167,2316.27,0.00379,0.00145,0.00136,0.00204
2012-02-08,3201.699,454.4522,293.3056,2322.11,0.00245,0.00000,-0.00106,0.00252
2012-02-09,3209.312,453.9254,294.6286,2325.56,0.00238,-0.00116,0.00451,0.00149
2012-02-10,3172.905,452.8426,291.2938,2309.6,-0.01134,-0.00239,-0.01132,-0.00686
2012-02-11,3172.905,452.8426,291.2938,2309.6,0.00000,0.00000,0.00000,0.00000
2012-02-12,3172.905,452.8426,291.2938,2309.6,0.00000,0.00000,0.00000,0.00000
2012-02-13,3197.068,453.642,292.0909,2325.81,0.00762,0.00177,0.00274,0.00702
2012-02-14,3184.024,452.0684,291.3606,2324,-0.00408,-0.00347,-0.00250,-0.00078
2012-02-15,3187.303,451.6578,290.9271,2312.28,0.00103,-0.00091,-0.00149,-0.00504
2012-02-16,3201.423,450.1384,291.9477,2338.12,0.00443,-0.00336,0.00351,0.01118
2012-02-17,3221.276,450.6829,293.0469,2343.67,0.00620,0.00121,0.00377,0.00237
2012-02-18,3221.276,450.6829,293.0469,2343.67,0.00000,0.00000,0.00000,0.00000
2012-02-19,3221.276,450.6829,293.0469,2343.67,0.00000,0.00000,0.00000,0.00000
2012-02-20,3242.632,451.7542,293.0469,2343.67,0.00663,0.00238,0.00000,0.00000
2012-02-21,3238.254,451.223,296.9974,2345.41,-0.00135,-0.00118,0.01348,0.00074
2012-02-22,3224.437,450.5068,298.1487,2337.67,-0.00427,-0.00159,0.00388,-0.00330
2012-02-23,3238.078,451.7878,298.7448,2348.11,0.00423,0.00284,0.00200,0.00447
2012-02-24,3253.825,453.1706,300.281,2352.34,0.00486,0.00306,0.00514,0.00180
2012-02-25,3253.825,453.1706,300.281,2352.34,0.00000,0.00000,0.00000,0.00000
2012-02-26,3253.825,453.1706,300.281,2352.34,0.00000,0.00000,0.00000,0.00000
2012-02-27,3248.828,453.5849,299.6669,2355.74,-0.00154,0.00091,-0.00205,0.00145
