Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2020-11-06,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-06,SZA-2015,4.86,,,4.86,4.86,0,0
2020-11-25,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-25,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-24,SZA-2019,46.02,56.24,46.02,56.24,56.24,25,1160.72
2020-11-24,SZA-2018,39.27,47.99,39.27,47.99,47.99,6,261.78
2020-11-24,SZA-2017,3.50,4.28,3.50,4.28,4.28,2,7.78
2020-11-24,SZA-2016,4.29,5.25,4.29,5.25,5.25,3,13.83
2020-11-24,SZA-2015,4.77,4.77,3.91,3.91,3.91,4,17.36
2020-11-24,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-04,SZA-2018,34.47,42.13,34.47,34.47,34.47,395,13646.29
2020-11-04,SZA-2017,11.14,11.14,9.12,9.12,9.12,2,20.26
2020-11-04,SZA-2016,5.90,5.90,4.82,4.82,4.82,2427,11699.22
2020-11-04,SZA-2015,5.94,5.94,4.86,4.86,4.86,2,10.80
2020-11-04,SZA-2014,42.48,,,42.48,42.48,0,0
2020-11-04,SZA-2013,31.70,31.70,31.70,31.70,31.70,39,1236.30
2020-11-03,SZA-2019,40.38,49.36,40.38,49.36,49.36,3,130.12
2020-11-03,SZA-2018,31.34,38.30,31.34,38.30,38.30,8,271.60
2020-11-03,SZA-2017,12.39,12.39,10.13,10.13,10.13,3,32.65
2020-11-03,SZA-2016,5.36,5.36,5.36,5.36,5.36,1,5.36
2020-11-20,SZA-2016,4.34,,,4.34,4.34,0,0
2020-11-20,SZA-2015,4.34,,,4.34,4.34,0,0
2020-11-20,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-20,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-19,SZA-2019,42.25,42.25,34.57,42.25,42.25,4,153.64
2020-11-19,SZA-2018,44.07,44.07,44.07,44.07,44.07,2,88.14
2020-11-19,SZA-2017,3.54,,,3.54,3.54,0,0
2020-11-19,SZA-2016,4.34,,,4.34,4.34,0,0
2020-11-19,SZA-2015,4.34,,,4.34,4.34,0,0
2020-11-19,SZA-2014,33.73,,,33.73,33.73,0,0
