,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
59,2020-06-01,TJEA19,"2,200","50,600",23.0,-0.07999999999999996,3804,6390.871,522.7518,135.4956,6251.48,1.0074978205384886,1.0008782425040652,0.9996377578761839,1.0038006939839204
60,2020-06-02,TJEA19,"1,700","38,250",22.5,-0.021739130434782598,3805,6459.454000000001,523.1298,136.0742,6303.0,1.0107314010875827,1.0007230965058371,1.004270249366031,1.0082412484723617
61,2020-06-03,TJEA19,"3,800","87,400",23.0,0.022222222222222143,3806,6564.821999999999,522.5109,136.3276,6389.67,1.0163122146237125,0.9988169284181477,1.001862219289182,1.0137505949547834
62,2020-06-04,TJEA19,"3,600","81,000",22.5,-0.021739130434782598,3807,6553.525,523.3169,137.2916,6369.54,0.9982791612628644,1.0015425515525131,1.0070712020163195,0.9968496025616346
63,2020-06-05,TJEA19,"3,500","78,400",22.4,-0.004444444444444473,3808,6696.194,522.4213,138.0206,6536.58,1.0217698109032927,0.9982886086805145,1.0053098660078257,1.026224813722812
64,2020-06-08,TJEA19,"3,500","77,000",22.0,-0.017857142857142794,3811,6759.274,524.0722,137.9102,6615.4,1.0094202766526776,1.0031600932044693,0.999200119402466,1.0120582934806885
65,2020-06-09,TJEA19,"3,450","79,350",23.0,0.04545454545454541,3812,6721.896,526.0831,138.0927,6564.27,0.9944701161692808,1.0038370667247758,1.0013233248882245,0.9922710644858966
66,2020-06-11,TJEA19,"34,852","871,300",25.0,0.08695652173913038,3814,6365.653,529.0486,136.7408,6145.3,0.9502967413315777,1.0031219064163757,0.9859925557060182,0.9411708850096946
67,2020-06-15,TJEA19,"7,677","198,067",25.8,0.03200000000000003,3818,6417.088000000001,526.5531,135.791,6279.4,1.0032653752961525,1.0006457457460691,0.9990788441701577,1.0083469558822111
68,2020-06-16,TJEA19,"7,424","196,736",26.5,0.027131782945736482,3819,6557.9259999999995,526.3366,136.4228,6398.58,1.0219473381072535,0.999588835390011,1.0046527383994521,1.0189795203363379
69,2020-06-17,TJEA19,"7,238","192,531",26.6,0.0037735849056603774,3820,6554.468000000001,526.4017,136.7024,6375.54,0.9994726991429914,1.0001236851094908,1.0020495107855873,0.996399201072738
70,2020-06-18,TJEA19,"7,336","192,937",26.3,-0.011278195488721776,3821,6548.07,526.7354,136.8027,6379.56,0.9990238719603176,1.0006339265241735,1.0007337106005452,1.0006305348252855
71,2020-06-19,TJEA19,"22,167","596,292",26.9,0.02281368821292773,3822,6529.276,526.0591,137.7724,6344.7,0.9971298413120202,0.9987160536390756,1.007088310391535,0.994535673306623
72,2020-06-22,TJEA19,"22,500","594,000",26.4,-0.018587360594795488,3825,6555.938,527.3953,138.3259,6385.91,1.004083454275788,1.0025400187925655,1.0040174955215992,1.0064951849575237
73,2020-06-23,TJEA19,"43,446","1,160,008",26.7,0.011363636363636465,3826,6609.95,528.8307,138.067,6413.44,1.0082386380103046,1.0027216776486252,0.998128333161035,1.0043110535538395
74,2020-06-24,TJEA19,"50,666","1,350,249",26.65,-0.0018726591760299671,3827,6444.68,527.7694,135.9296,6247.66,0.9749967851496608,0.9979931195371222,0.9845191102870344,0.9741511575691049
75,2020-06-29,TJEA19,"62,760","1,556,448",24.8,-0.06941838649155717,3832,6435.908,527.0577,137.0737,6254.78,1.0091991162952392,1.0003264465139212,1.0162075803910666,1.0148097671777399
76,2020-06-30,TJEA19,"59,408","1,556,490",26.2,0.05645161290322576,3833,6511.097,526.9333,138.6382,6351.67,1.0116827338116081,0.9997639727111474,1.0114135680294616,1.0154905528251994
77,2020-07-01,TJEA19,"56,800","1,513,152",26.64,0.016793893129771087,3834,6539.444,527.0668,139.0814,6383.76,1.004353644247659,1.0002533527488202,1.003196810114384,1.0050522146144243
78,2020-07-02,TJEA19,"58,560","1,556,525",26.58,-0.0022522522522523407,3835,6588.83,527.4791,140.0398,6414.16,1.007552018183809,1.0007822537864273,1.006890928621656,1.004762083787611
79,2020-07-03,TJEA19,"72,870","1,945,629",26.7,0.004514672686230181,3836,6585.251,527.7667,140.0398,6414.16,0.9994568079613528,1.000545234872813,1.0,1.0
80,2020-07-06,TJEA19,"72,600","1,945,680",26.8,0.0037453183520599342,3839,6697.45,529.1507,141.2104,6516.05,1.0170379230799251,1.0026223708316573,1.0083590522122996,1.0158851665689663
81,2020-07-07,TJEA19,"72,740","1,945,795",26.75,-0.0018656716417910781,3840,6635.366999999999,529.2873,141.982,6445.59,0.9907303525968838,1.0002581495214877,1.0054641867737788,0.9891867005317638
82,2020-07-08,TJEA19,"72,060","1,945,620",27.0,0.009345794392523256,3841,6663.464,530.1214,142.5187,6496.14,1.0042344304391906,1.0015758927145995,1.0037800566268964,1.007842571432561
83,2020-07-09,TJEA19,"58,120","1,556,454",26.78,-0.008148148148148127,3842,6629.543000000001,530.9169,141.5669,6461.31,0.9949094044779113,1.0015005996739617,0.9933215781507971,0.9946383544689615
84,2020-07-10,TJEA19,"43,476","1,167,331",26.85,0.0026138909634054737,3843,6685.366,531.3642,142.1855,6528.96,1.0084203390791793,1.0008425047309661,1.0043696655079681,1.0104700130468898
85,2020-07-13,TJEA19,"72,820","1,945,750",26.72,-0.00484171322160154,3846,6668.102,530.8972,141.8748,6467.84,0.9974176432524412,0.9991211301024796,0.9978148264063494,0.9906386315737882
86,2020-07-14,TJEA19,"72,653","1,945,647",26.78,0.0022455089820359038,3847,6718.74,531.663,141.2065,6555.4,1.007594064997806,1.0014424638140869,0.9952895087781622,1.0135377498515732
