,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
24,2020-04-27,25.58,27.8,23.55,8873.0,219552.34,0.0007824726134584293,3769,5960.441,515.4144,127.0348,5874.94,1.0177097419716155,1.00048372832637,0.9886122829831726,1.0147314604509772
25,2020-04-28,27.58,27.96,23.66,6001.0,165487.65,0.07818608287724782,3770,5963.01,516.6036,127.2242,5844.18,1.0004310083767292,1.0023072696455513,1.0014909300443657,0.994764201847168
26,2020-04-29,25.77,25.93,25.21,40831.0,1034106.65,-0.06562726613488035,3771,6103.314,517.7244,127.7246,5999.74,1.0235290566341495,1.0021695551482799,1.00393321396401,1.0266179344236488
27,2020-04-30,25.93,27.88,24.99,79565.0,2049740.64,0.006208769887465993,3772,6050.996999999999,520.0118,129.9062,5944.68,0.9914280995537833,1.0044181807927153,1.017080499762771,0.9908229356605454
28,2020-05-06,25.5,25.99,25.0,46676.0,1169395.39,-0.016583108368684932,3778,5919.111,515.5634,131.1085,5815.17,0.9948237863805983,0.9962858855534861,0.9863974751065517,0.9930988902892626
29,2020-05-07,25.95,26.83,25.07,9404.0,240166.13,0.01764705882352935,3779,5975.630999999999,515.891,132.2496,5884.14,1.0095487312199416,1.0006354213662179,1.0087034784167312,1.0118603583386212
30,2020-05-08,25.38,25.93,24.61,73756.0,1849359.70,-0.02196531791907519,3780,6081.664000000001,515.6506,132.9422,5984.55,1.0177442348766184,0.9995340100912792,1.0052370668795976,1.0170645158001
31,2020-05-11,25.49,27.33,25.0,62286.0,1569217.42,0.004334121355398013,3783,6078.399,514.3944,131.7972,5985.66,0.9994631403510618,0.997563854284277,0.9913872344522656,1.0001854776048325
32,2020-05-12,25.38,27.2,25.01,93201.0,2344328.16,-0.0043154178109061645,3784,6000.5740000000005,515.9578,131.306,5863.68,0.9871964640689103,1.0030393021385924,0.9962730619466879,0.9796212948947987
33,2020-05-13,25.48,25.6,25.14,62095.0,1588941.62,0.003940110323089163,3785,5895.943,515.9067,129.3234,5761.7,0.9825631681235828,0.9999009608925381,0.9849009184652642,0.9826081914429163
34,2020-05-14,25.6,26.66,25.1,62121.0,1590811.69,0.0047095761381477095,3786,5901.3240000000005,515.774,130.7416,5829.33,1.0009126614690813,0.9997427829489325,1.010966306175062,1.0117378551469185
35,2020-05-15,25.73,25.99,25.11,106129.0,2694952.20,0.0050781250000000435,3787,5927.186,515.3831,131.5352,5852.84,1.0043824063888034,0.9992421099163588,1.0060699884352036,1.004033053541316
36,2020-05-18,26.07,26.5,24.33,64447.0,1629107.72,0.0132141469102216,3790,6106.751,515.2587,134.4572,6037.9,1.0302951518646455,0.9997586261559605,1.0222145859055218,1.031618838034185
37,2020-05-19,25.78,27.5,25.1,64355.0,1644806.80,-0.011123897199846522,3791,6084.746999999999,516.9711,134.9047,5975.15,0.996396774651529,1.0033233791103382,1.0033281966306007,0.9896073138011561
38,2020-05-20,26.29,27.44,25.44,23671.0,612783.63,0.01978277734678047,3792,6175.826999999999,519.049,135.6881,6075.76,1.014968576343437,1.004019373616823,1.0058070623188073,1.0168380710107696
39,2020-05-21,25.78,26.88,25.33,30402.0,779567.73,-0.019399011030810098,3793,6123.533,518.5985,134.4284,6028.93,0.9915324700643332,0.9991320665293643,0.9907162087169031,0.9922923222773776
40,2020-05-22,25.69,26.55,25.3,64265.0,1632189.33,-0.0034910783553141482,3794,6117.666,518.1732,133.8446,6044.16,0.9990418929725698,0.9991799050710714,0.9956571676818292,1.0025261530653033
