,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
35,2018-05-18,31045,57.11,BEA,"1,773,100.80",0.05820000000000002,3059,6030.795,475.8816,185.72400000000002,5329.66,0.9979550410191501,1.0008641962585707,1.0012264382346838,0.9974491371420978
36,2018-05-21,11500,57.11,BEA,"656,740.00",0.0,3062,6059.843000000001,475.1567,186.9026,5369.19,1.0048166120718744,0.9984767219409197,1.0063459757489608,1.0074169834473494
37,2018-05-22,8749,58.73,BEA,"513,829.30",0.02839999999999998,3063,6054.835,475.7028,187.8264,5352.45,0.9991735759490797,1.0011493050608358,1.004942681375219,0.9968822112832663
38,2018-05-23,200,59.2,BEA,"11,840.00",0.008000000000000007,3064,6038.379,476.4672,188.15400000000002,5369.99,0.9972821720162481,1.0016068856437255,1.001744163759727,1.0032770039888275
39,2018-05-24,500,59.6,BEA,"29,,800.00",0.006799999999999917,3065,6024.045,478.1864,188.0383,5359.32,0.9976261841133192,1.0036082231893402,0.999385078180639,0.9980130316816233
40,2018-05-25,33449,59.85,BEA,"2,001,902.30",0.0041999999999999815,3066,6004.695,477.8386,186.8314,5347.31,0.9967878726005532,0.9992726685660654,0.9935816267217903,0.9977590440578283
41,2018-05-28,32805,60.12,BEA,"1,972,268.50",0.004499999999999949,3069,5994.928000000001,477.8124,186.8314,5347.31,0.998373439450297,0.9999451697707135,1.0,1.0
42,2018-05-30,14000,61.05,BEA,"854,700.00",0.01550000000000007,3071,5977.275,478.3621,186.4725,5353.76,1.0084197573020603,0.999531745796264,1.004970622505392,1.0128762510168947
43,2018-05-31,21998,61.68,BEA,"1,356,877.80",0.010299999999999976,3072,5956.988,479.7931,186.4731,5318.1,0.9966059784768144,1.0029914577262704,1.0000032176326268,0.9933392606317804
44,2018-06-01,11600,62.47,BEA,"724,600.00",0.012799999999999924,3073,6003.658,478.1469,185.9414,5376.29,1.0078344962252737,0.99656893773587,0.9971486503951508,1.01094187773829
45,2018-06-04,8572,63.42,BEA,"543,600.00",0.015200000000000102,3076,6039.906,478.2796,183.8687,5400.5,1.0060376523779335,1.0002775297717081,0.9888529396896012,1.0045031053012394
46,2018-06-05,1330,64.07,BEA,"85,211.00",0.010199999999999987,3077,6033.139,477.8668,184.4248,5404.62,0.9988796183251859,0.9991369065291515,1.0030244408102087,1.0007628923247847
47,2018-06-06,32463,64.95,BEA,"2,108,437.90",0.013700000000000044,3078,6082.744000000001,477.5317,184.5775,5451.09,1.0082220880374213,0.9992987585661945,1.0008279797510964,1.008598199318361
48,2018-06-07,28598,65.91,BEA,"1,884,870.00",0.014799999999999924,3079,6086.253000000001,478.1124,185.1635,5448.18,1.0005768778038333,1.0012160449243475,1.003174818165811,0.9994661618135089
49,2018-06-08,30206,65.83,BEA,"1,988,611.90",-0.0011999999999999786,3080,6086.924,477.84,185.0296,5465.42,1.0001102484566446,0.9994302594954659,0.9992768553197579,1.003164359474173
50,2018-06-11,29853,56.14,BEA,"1,675,867.80",-0.1472,3083,6105.601,477.769,184.38299999999998,5471.29,1.0030683806796339,0.999851414699481,0.9965054239970254,1.0010740254179917
51,2018-06-12,14250,44.9,BEA,"639,825.00",-0.20020000000000004,3084,6109.044,477.319,184.9101,5481.07,1.0005639084506177,0.9990581222306177,1.0028587234181026,1.001787512634132
