,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
61,2020-06-01,SZA-2015,39.88,39.88,39.88,39.88,39.88,1.0,39.88,0.10013793103448276,3804,6390.871,522.7518,135.4956,6251.48,1.0074978205384886,1.0008782425040652,0.9996377578761839,1.0038006939839204
62,2020-06-02,SZA-2015,39.88,,,39.88,39.88,0.0,0.0,0.0,3805,6459.454000000001,523.1298,136.0742,6303.0,1.0107314010875827,1.0007230965058371,1.004270249366031,1.0082412484723617
63,2020-06-03,SZA-2015,39.88,,,39.88,39.88,0.0,0.0,0.0,3806,6564.821999999999,522.5109,136.3276,6389.67,1.0163122146237125,0.9988169284181477,1.001862219289182,1.0137505949547834
64,2020-06-04,SZA-2015,35.89,35.89,35.89,35.89,35.89,1.0,35.89,-0.10005015045135413,3807,6553.525,523.3169,137.2916,6369.54,0.9982791612628644,1.0015425515525131,1.0070712020163195,0.9968496025616346
65,2020-06-05,SZA-2015,32.3,39.48,32.3,39.48,39.48,2.0,71.78,0.10002786291446064,3808,6696.194,522.4213,138.0206,6536.58,1.0217698109032927,0.9982886086805145,1.0053098660078257,1.026224813722812
66,2020-06-08,SZA-2015,35.53,43.43,35.53,35.53,35.53,5.0,185.55,-0.1000506585612968,3811,6759.274,524.0722,137.9102,6615.4,1.0094202766526776,1.0031600932044693,0.999200119402466,1.0120582934806885
67,2020-06-09,SZA-2015,31.98,31.98,31.98,31.98,31.98,1.0,31.98,-0.09991556431184913,3812,6721.896,526.0831,138.0927,6564.27,0.9944701161692808,1.0038370667247758,1.0013233248882245,0.9922710644858966
68,2020-06-10,SZA-2015,28.78,35.18,28.78,35.18,35.18,2.0,63.96,0.1000625390869294,3813,6698.595,527.4021,138.6834,6529.42,0.9965335673149363,1.0025072084619333,1.0042775613772488,0.9946909557346056
69,2020-06-11,SZA-2015,35.18,,,35.18,35.18,0.0,0.0,0.0,3814,6365.653,529.0486,136.7408,6145.3,0.9502967413315777,1.0031219064163757,0.9859925557060182,0.9411708850096946
70,2020-06-12,SZA-2015,38.7,38.7,38.7,38.7,38.7,1.0,38.7,0.1000568504832291,3815,6396.201999999999,526.2133,135.9162,6227.42,1.0047990363282446,0.9946407570117377,0.9939696125808829,1.0133630579467234
71,2020-06-15,SZA-2015,34.83,34.83,34.83,34.83,34.83,1.0,34.83,-0.10000000000000007,3818,6417.088000000001,526.5531,135.791,6279.4,1.0032653752961525,1.0006457457460691,0.9990788441701577,1.0083469558822111
72,2020-06-16,SZA-2015,31.35,31.35,31.35,31.35,31.35,2.0,62.7,-0.09991386735572773,3819,6557.9259999999995,526.3366,136.4228,6398.58,1.0219473381072535,0.999588835390011,1.0046527383994521,1.0189795203363379
73,2020-06-17,SZA-2015,34.49,34.49,34.49,34.49,34.49,1.0,34.49,0.10015948963317388,3820,6554.468000000001,526.4017,136.7024,6375.54,0.9994726991429914,1.0001236851094908,1.0020495107855873,0.996399201072738
74,2020-06-18,SZA-2015,34.49,,,34.49,34.49,0.0,0.0,0.0,3821,6548.07,526.7354,136.8027,6379.56,0.9990238719603176,1.0006339265241735,1.0007337106005452,1.0006305348252855
75,2020-06-19,SZA-2015,37.94,37.94,37.94,37.94,37.94,1.0,37.94,0.1000289939112784,3822,6529.276,526.0591,137.7724,6344.7,0.9971298413120202,0.9987160536390756,1.007088310391535,0.994535673306623
76,2020-06-22,SZA-2015,37.94,,,37.94,37.94,0.0,0.0,0.0,3825,6555.938,527.3953,138.3259,6385.91,1.004083454275788,1.0025400187925655,1.0040174955215992,1.0064951849575237
77,2020-06-23,SZA-2015,34.15,41.73,34.15,41.73,41.73,2.0,75.88,0.09989457037427507,3826,6609.95,528.8307,138.067,6413.44,1.0082386380103046,1.0027216776486252,0.998128333161035,1.0043110535538395
