,Date,index_x,Unnamed: 0,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
14,2020-04-17,682,682,111,86.17,BEA,"9,565.20",0.009400000000000077,3759,5943.246,515.3022,132.4482,5865.9,1.0270985175346095,1.0005963163533012,1.0006361246260314,1.026835416447852
15,2020-04-22,683,683,184,85.43,BEA,"15,720.00",-0.008600000000000052,3764,5798.823,513.2003,129.4404,5712.65,1.0186872183438864,0.9985006933271902,1.0197280208482689,1.0229584345073095
16,2020-05-12,684,684,4680,74.34,BEA,"347,916.00",-0.12980000000000005,3784,6000.5740000000005,515.9578,131.306,5863.68,0.9871964640689103,1.0030393021385924,0.9962730619466879,0.9796212948947987
17,2020-05-13,685,685,109,88.0,BEA,"9,592.00",0.1838,3785,5895.943,515.9067,129.3234,5761.7,0.9825631681235828,0.9999009608925381,0.9849009184652642,0.9826081914429163
18,2020-06-03,686,686,307,89.1,BEA,"27,353.70",0.012499999999999956,3806,6564.821999999999,522.5109,136.3276,6389.67,1.0163122146237125,0.9988169284181477,1.001862219289182,1.0137505949547834
19,2020-06-04,687,687,231,89.3,BEA,"20,628.30",0.00219999999999998,3807,6553.525,523.3169,137.2916,6369.54,0.9982791612628644,1.0015425515525131,1.0070712020163195,0.9968496025616346
20,2020-06-05,688,688,2052,83.98,BEA,"172,324.60",-0.059599999999999986,3808,6696.194,522.4213,138.0206,6536.58,1.0217698109032927,0.9982886086805145,1.0053098660078257,1.026224813722812
21,2020-06-08,689,689,231,89.2,BEA,"20,605.20",0.062200000000000026,3811,6759.274,524.0722,137.9102,6615.4,1.0094202766526776,1.0031600932044693,0.999200119402466,1.0120582934806885
22,2020-06-11,690,690,90,89.4,BEA,"8,046.00",0.00219999999999998,3814,6365.653,529.0486,136.7408,6145.3,0.9502967413315777,1.0031219064163757,0.9859925557060182,0.9411708850096946
23,2020-06-12,691,691,14221,74.54,BEA,"1,060,001.50",-0.1662,3815,6396.201999999999,526.2133,135.9162,6227.42,1.0047990363282446,0.9946407570117377,0.9939696125808829,1.0133630579467234
24,2020-06-15,692,692,617,69.42,BEA,"42,834.10",-0.06869999999999997,3818,6417.088000000001,526.5531,135.791,6279.4,1.0032653752961525,1.0006457457460691,0.9990788441701577,1.0083469558822111
25,2020-06-16,693,693,1000,80.0,BEA,"80,000.00",0.1524000000000001,3819,6557.9259999999995,526.3366,136.4228,6398.58,1.0219473381072535,0.999588835390011,1.0046527383994521,1.0189795203363379
26,2020-06-18,694,694,200,90.1,BEA,"18,020.00",0.1262000000000001,3821,6548.07,526.7354,136.8027,6379.56,0.9990238719603176,1.0006339265241735,1.0007337106005452,1.0006305348252855
27,2020-06-19,695,695,3864,90.5,BEA,"349,692.00",0.00439999999999996,3822,6529.276,526.0591,137.7724,6344.7,0.9971298413120202,0.9987160536390756,1.007088310391535,0.994535673306623
28,2020-06-22,696,696,132,93.7,BEA,"12,368.40",0.0354000000000001,3825,6555.938,527.3953,138.3259,6385.91,1.004083454275788,1.0025400187925655,1.0040174955215992,1.0064951849575237
29,2020-06-24,697,697,15800,90.0,BEA,"1,422,000.00",-0.03949999999999998,3827,6444.68,527.7694,135.9296,6247.66,0.9749967851496608,0.9979931195371222,0.9845191102870344,0.9741511575691049
30,2020-06-29,698,698,5861,88.83,BEA,"520,630.00",-0.013000000000000013,3832,6435.908,527.0577,137.0737,6254.78,1.0091991162952392,1.0003264465139212,1.0162075803910666,1.0148097671777399
31,2020-06-30,699,699,100,93.0,BEA,"9,300.00",0.046899999999999935,3833,6511.097,526.9333,138.6382,6351.67,1.0116827338116081,0.9997639727111474,1.0114135680294616,1.0154905528251994
32,2020-07-02,700,700,1421,93.79,BEA,"133,274.40",0.008499999999999952,3835,6588.83,527.4791,140.0398,6414.16,1.007552018183809,1.0007822537864273,1.006890928621656,1.004762083787611
33,2020-07-06,701,701,3095,92.94,BEA,"287,664.00",-0.009099999999999995,3839,6697.45,529.1507,141.2104,6516.05,1.0170379230799251,1.0026223708316573,1.0083590522122996,1.0158851665689663
34,2020-07-07,702,702,1548,100.0,BEA,"154,800.00",0.07600000000000008,3840,6635.366999999999,529.2873,141.982,6445.59,0.9907303525968838,1.0002581495214877,1.0054641867737788,0.9891867005317638
35,2020-07-08,703,703,11186,87.29,BEA,"976,382.20",-0.1271,3841,6663.464,530.1214,142.5187,6496.14,1.0042344304391906,1.0015758927145995,1.0037800566268964,1.007842571432561
36,2020-07-09,704,704,8989,86.92,BEA,"781,332.20",-0.0041999999999999815,3842,6629.543000000001,530.9169,141.5669,6461.31,0.9949094044779113,1.0015005996739617,0.9933215781507971,0.9946383544689615
37,2020-07-10,705,705,100,93.5,BEA,"9,350.00",0.0757000000000001,3843,6685.366,531.3642,142.1855,6528.96,1.0084203390791793,1.0008425047309661,1.0043696655079681,1.0104700130468898
38,2020-07-13,706,706,12740,85.13,BEA,"1,084,508.00",-0.08950000000000002,3846,6668.102,530.8972,141.8748,6467.84,0.9974176432524412,0.9991211301024796,0.9978148264063494,0.9906386315737882
39,2020-07-14,707,707,18420,84.87,BEA,"1,563,231.00",-0.003099999999999992,3847,6718.74,531.663,141.2065,6555.4,1.007594064997806,1.0014424638140869,0.9952895087781622,1.0135377498515732
40,2020-07-15,708,708,100,94.0,BEA,"9,400.00",0.10759999999999993,3848,6801.991999999999,532.5739,142.251,6615.07,1.0123910137912762,1.0017133033519352,1.0073969682698742,1.009102419379443
41,2020-07-17,709,709,5175,94.0,BEA,"486,450.00",0.0,3850,6787.834,532.6813,141.8882,6611.86,1.0022533533414848,0.9989891607652597,1.000327125008284,1.0028986386560994
42,2020-07-20,710,710,4005,92.58,BEA,"370,776.00",-0.015100000000000002,3853,6844.348000000001,533.8489,141.4959,6667.45,1.0083257781495543,1.0021919297711408,0.9972351471087799,1.0084076190360958
43,2020-07-21,711,711,8590,88.64,BEA,"761,451.00",-0.04259999999999997,3854,6869.834,535.7415,143.5805,6678.74,1.0037236563658072,1.0035451979015035,1.01473258235751,1.001693301037128
44,2020-07-22,712,712,265,93.93,BEA,"24,892.00",0.059700000000000086,3855,6888.321999999999,537.5181,144.5464,6717.29,1.0026911858423362,1.003316151539502,1.006727236637287,1.0057720468232032
45,2020-07-23,713,713,4047,90.62,BEA,"366,749.70",-0.03520000000000001,3856,6830.528,538.0097,145.369,6635.04,0.9916098579596019,1.00091457385342,1.005690906172689,0.9877554787719453
46,2020-07-24,714,714,1834,95.2,BEA,"74,596.80",0.05049999999999999,3857,6781.781,538.7462,145.4245,6594.1,0.9928633628322729,1.0013689344262753,1.000381787038502,0.9938297282307266
47,2020-07-27,715,715,200,95.2,BEA,"19,040.00 ",0.0,3860,6841.143,541.7927,146.1777,6642.89,1.0087531579094047,1.0056547962658482,1.005179319853257,1.0073990385344473
48,2020-07-28,716,716,3033,86.61,BEA,"262,677.40",-0.09019999999999996,3861,6806.505999999999,541.7852,146.2388,6599.97,0.9949369571722151,0.999986157067085,1.000417984412123,0.9935389566890315
49,2020-07-29,717,717,615,93.77,BEA,"57,669.50",0.0827,3862,6865.15,542.3468,147.2259,6682.01,1.008615874282635,1.0010365731658968,1.006749918626247,1.0124303595319373
50,2020-07-30,718,718,100,94.0,BEA,"9,400.00",0.0024999999999999467,3863,6819.276999999999,543.5113,145.6468,6658.02,0.9933179901385985,1.0021471501260817,0.9892743056758357,0.9964097629306152
51,2020-07-31,719,719,11800,89.36,BEA,"1,054,400.00 ",-0.0494,3864,6822.597,543.739,146.55100000000002,6709.81,1.0004868551314166,1.0004189425316456,1.0062081693521587,1.0077785888297122
52,2020-08-03,720,720,100,94.0,BEA,"9,400.00",0.051900000000000064,3867,6879.235,541.7188,149.1733,6758.2,1.0083015309272993,0.9962846144933506,1.0178934295910638,1.0072118286508858
53,2020-08-04,721,721,19371,95.35,BEA,"1,847,100.00",0.014399999999999968,3868,6917.0,543.2571,150.5371,6782.6,1.005489709248194,1.0028396651546891,1.0091423867407907,1.0036104288124057
54,2020-08-05,722,722,6500,91.85,BEA,"597,050.00",-0.03669999999999996,3869,6973.585,545.0315,151.9202,6826.22,1.008180569611103,1.0032662251445954,1.0091877683308632,1.0064311620912334
55,2020-08-06,723,723,7285,98.18,BEA,"715,222.50",0.06889999999999996,3870,6986.293000000001,545.2036,152.2354,6870.86,1.001822305170153,1.0003157615660747,1.0020747734665962,1.0065394903768117
56,2020-08-10,724,724,1442,98.2,BEA,"141,601.20",0.000199999999999978,3874,6990.055,543.4489,151.3065,6895.59,1.0020995181645238,0.9999758952787867,1.0064394725499273,1.002754248071372
57,2020-08-12,725,725,5402,94.29,BEA,"509,377.20",-0.03979999999999995,3876,7082.08,540.8741,149.9563,6937.44,1.0137664261014565,0.9991378813494199,1.0054214714675453,1.0141462751455632
58,2020-08-17,726,726,8144,90.65,BEA,"738,271.60",-0.03859999999999997,3881,7091.235,541.7766,153.6884,6943.22,1.004116585810891,1.0027108416453534,1.0171182606692972,1.0027353024429977
59,2020-08-19,727,727,294,94.0,BEA,"27,636.00",0.03699999999999992,3883,7093.9490000000005,543.1836,154.3651,6930.8,0.9980580357896562,0.9993698554678422,0.9980803300099572,0.9957616769392124
60,2020-08-20,728,728,498,102.96,BEA,"51,276.00",0.09529999999999994,3884,7078.829000000001,542.2871,153.187,6952.92,0.9978686060472101,0.9983495451629983,0.9923680935651906,1.003191550758931
61,2020-08-21,729,729,12472,92.14,BEA,"1,149,182.00",-0.10509999999999996,3885,7087.901999999999,541.5186,152.4965,6977.27,1.0012817091640438,0.9985828539900727,0.9954924373478167,1.0035021257255945
62,2020-08-25,730,730,5410,93.83,BEA,"507,617.00",0.018299999999999983,3889,7180.071999999999,540.4974,153.689,7073.6,1.002472787953581,0.9970933804118634,1.0050701801081263,1.0036080287507254
63,2020-08-26,731,731,100,89.9,BEA,"8,990.00",-0.04190000000000005,3890,7248.695,540.6099,154.2883,7145.77,1.009557425050891,1.000208141611782,1.0038994332710864,1.010202725627686
64,2020-08-27,732,732,12656,81.88,BEA,"1,036,326.40",-0.08919999999999995,3891,7239.306,539.0473,154.9686,7158.18,0.9987047323690678,0.9971095608866947,1.0044092779556195,1.0017366917770933
65,2020-08-28,733,733,22054,90.62,BEA,"1,998,520.60",0.10670000000000003,3892,7281.769,541.8519,156.0781,7207.1,1.0058656175053244,1.0052028829381021,1.0071595148952754,1.0068341394041502
66,2020-08-31,734,734,5610,95.28,BEA,"534,525.00",0.05139999999999989,3895,7278.444,542.91,156.4625,7192.11,0.9995433801868749,1.001952747605019,1.0024628695505649,0.997920106561585
67,2020-09-01,735,735,5809,91.89,BEA,"533,798.80",-0.035599999999999965,3896,7313.536999999999,543.8919,156.8631,7246.37,1.0048214975618415,1.0018085870586284,1.002560357913238,1.0075443784925426
68,2020-09-02,736,736,12189,91.96,BEA,"1,120,848.00",0.0007999999999999119,3897,7393.548000000001,543.2097,155.4359,7358.49,1.010940123773217,0.9987457066376609,0.9909016205850835,1.0154725745442201
69,2020-09-04,737,737,6836,86.71,BEA,"592,750.60",-0.05710000000000004,3899,7114.624,540.9628,154.49200000000002,7043.62,0.989213320423058,0.9954575674974924,1.0013014352082297,0.9918663696351976
70,2020-09-07,738,738,3830,93.92,BEA,"359,702.00",0.08319999999999994,3902,7139.8859999999995,541.1028,154.49200000000002,7043.62,1.0035507146969396,1.0002587978323094,1.0,1.0
71,2020-09-08,739,739,6254,83.56,BEA,"522,565.00",-0.11029999999999997,3903,6981.081,541.4095,152.3703,6848.42,0.977758048237745,1.0005668054203378,0.9862666028014393,0.9722869774348986
72,2020-09-09,740,740,6426,81.57,BEA,"524,156.80",-0.023800000000000043,3904,7098.029,540.8823,153.0287,6986.76,1.0167521333730407,0.9990262453835775,1.0043210520685462,1.0202002797725607
73,2020-09-11,741,741,5381,65.3,BEA,"351,379.00",-0.1995,3906,7022.474,541.6438,152.7145,6868.22,1.0001652112410868,1.000297331697332,1.0009451380773322,1.000581274228865
74,2020-09-14,742,742,2600,63.5,BEA,"165,100.00",-0.027599999999999958,3909,7107.218000000001,543.0573,153.1189,6957.91,1.0120675420086995,1.002609648628859,1.002648078604193,1.0130586964308073
75,2020-09-15,743,743,1000,76.2,BEA,"76,200.00",0.2,3910,7141.722,543.0817,153.2288,6994.33,1.004854782841894,1.0000449308019612,1.000717742878247,1.0052343304239348
76,2020-09-16,744,744,104,87.58,BEA,"9,108.80",0.1493,3911,7128.624,543.7684,154.299,6962.29,0.9981659885388986,1.0012644506342234,1.0069843267062066,0.995419146651645
77,2020-09-21,745,745,11496,94.66,BEA,"1,088,157.00",0.08079999999999997,3916,6909.576999999999,542.7344,151.869,6748.08,0.9837718956038792,0.9966179205040545,0.9752139776239349,0.9884805587456348
78,2020-09-22,746,746,14180,93.97,BEA,"1,332,544.00",-0.007299999999999973,3917,6950.835,541.6041,151.5249,6819.08,1.0059711325309786,0.9979173975336739,0.9977342314758114,1.010521511303956
79,2020-09-24,747,747,505,95.79,BEA,"48,376.00",0.019400000000000084,3919,6823.465999999999,539.4295,151.2472,6678.04,0.9977455385995726,0.997915480774158,1.0014043093294207,1.0030370301389946
80,2020-09-25,748,748,4090,94.97,BEA,"388,444.00",-0.008600000000000052,3920,6902.629,539.036,150.8655,6784.95,1.0116015819526323,0.9992705256201228,0.9974763169169413,1.016009188324718
81,2020-09-28,749,749,25352,86.48,BEA,"834,292.00",-0.08940000000000002,3923,7019.964,539.5694,151.5106,6894.27,1.01699859575243,1.000989544297598,1.0042759941802468,1.016112130524175
82,2020-09-29,750,750,44453,88.29,BEA,"3,924,971.20",0.02089999999999992,3924,7004.558000000001,541.1673,149.974,6861.96,0.9978054018510638,1.002961435544714,0.9898581353383854,0.9953134994713
83,2020-10-09,751,751,11037,90.08,BEA,"994,200.40",0.020299999999999985,3934,7269.130999999999,542.8753,156.3432,7157.92,1.0084135605804383,1.0038899964624628,1.0151582345672678,1.0088113425599685
84,2020-10-13,752,752,26988,95.28,BEA,"2,571,451.00",0.057700000000000085,3938,7317.904,543.0469,154.8916,7229.55,0.99445608599345,0.999472331547322,0.9971397468325094,0.9936938435253999
85,2020-10-15,753,753,7987,95.2,BEA,"760,360.70",-0.0008000000000000228,3940,7234.525,542.8489,156.7415,7171.61,0.9928193928541678,0.9979307853585048,1.0060384837808816,0.9985004970497244
86,2020-10-19,754,754,12490,95.21,BEA,"1,189,115.70",9.9999999999989e-05,3944,7181.12,544.1573,157.0258,7055.58,0.9908981297576046,1.0013311646549838,1.002522493993834,0.9836714208038814
87,2020-10-20,755,755,24706,92.62,BEA,"2,288,197.20",-0.0272,3945,7195.384,543.9745,157.7982,7089.06,1.0019863196827237,0.999664067724535,1.0049189368880782,1.0047451804103986
88,2020-10-21,756,756,8868,94.96,BEA,"1,791,681.70",0.0253000000000001,3946,7180.986999999999,545.5576,158.2179,7073.65,0.997999133889171,1.0029102467119322,1.002659726156572,0.9978262280189474
89,2020-10-22,757,757,9652,93.97,BEA,"906,952.00",-0.010399999999999965,3947,7190.794,543.6948,157.6012,7111.17,1.0013656897025438,0.9965855117773083,0.9961022109382063,1.0053041923193826
90,2020-10-23,758,758,11988,88.96,BEA,"1,066,457.60",-0.05330000000000002,3948,7219.401999999999,543.8025,157.02200000000002,7135.81,1.0039784201855873,1.0001980890749738,0.9963249010794335,1.0034649713057064
91,2020-10-26,759,759,1784,88.84,BEA,"2,823,786.80",-0.0012999999999999678,3951,7099.255,543.9694,156.3046,7003.21,0.9833577628728808,1.0003069128957662,0.995431213460534,0.9814176666699365
92,2020-10-27,760,760,13125,93.75,BEA,"1,230,501.00",0.05529999999999991,3952,7074.286999999999,545.4697,157.0624,6982.14,0.9964830112455461,1.0027580595526147,1.004848225835964,0.996991379667324
93,2020-10-28,761,761,14623,89.41,BEA,"1,307,494.00",-0.046300000000000015,3953,6851.5,543.9592,153.9736,6735.75,0.9685074976460526,0.9972308269368583,0.9803339309726581,0.9647113922092653
94,2020-10-29,762,762,9007,92.9,BEA,"836,706.00",0.03899999999999992,3954,6887.094,541.7831,152.858,6816.79,1.0051950667736993,0.9959995161401811,0.9927546020876306,1.0120313253906394
95,2020-10-30,763,763,9010,89.44,BEA,"805,863.20",-0.03720000000000001,3955,6811.78,541.4746,153.349,6734.84,0.9890644733468136,0.9994305839366344,1.0032121315207578,0.987978212619136
96,2020-11-02,764,764,9746,93.42,BEA,"910,479.00",0.044499999999999984,3958,6898.656999999999,541.4536,153.9511,6817.89,1.0127539350947916,0.9999612170173818,1.0039263379611214,1.012331399112674
97,2020-11-03,765,765,8826,88.8,BEA,"783,752.80",-0.04949999999999999,3959,7038.755999999999,543.2396,154.2368,6939.3,1.0203081556308713,1.0032985282580076,1.0018557840768918,1.0178075621636606
98,2020-11-04,766,766,72517,93.82,BEA,"6,803,332.00",0.0565,3960,7179.433000000001,544.6883,155.1609,7092.3,1.0199860600367454,1.0026667790786976,1.0059914365443268,1.0220483334053867
99,2020-11-05,767,767,36550,91.87,BEA,"3,357,996.00 ",-0.02080000000000004,3961,7328.643,548.1579,156.2287,7231.67,1.0207829782658322,1.0063698816368922,1.0068818884138981,1.0196508889922873
100,2020-11-06,768,768,40752,92.3,BEA,"3,761,609.70",0.004699999999999927,3962,7339.4259999999995,548.4961,155.4409,7230.51,1.001471350153091,1.0006169755101586,0.9949573925917581,0.9998395944505212
101,2020-11-09,769,769,9350,91.55,BEA,"856,020.00",-0.008099999999999996,3965,7435.156999999999,544.6831,155.2841,7315.77,1.0130433905866754,0.9930482641535646,0.9989912564839756,1.0117916993407103
102,2020-11-10,770,770,35822,96.29,BEA,"3,449,420.10",0.05180000000000007,3966,7450.705,544.1708,157.8803,7306.75,1.002091146158716,0.99905945310218,1.0167190330497458,0.9987670470777511
103,2020-11-11,771,771,39888,91.53,BEA,"3,651,081.50",-0.0494,3967,7513.687,543.011,157.9613,7362.65,1.0084531598016564,0.9978686838764593,1.000513046909589,1.0076504601909193
104,2020-11-12,772,772,55536,93.92,BEA,"5,215,821.00",0.02610000000000001,3968,7458.689,545.1091,157.3589,7290.69,0.9926802913137053,1.00386382596301,0.996186407683401,0.9902263451338852
105,2020-11-13,773,773,18158,90.09,BEA,"1,635,885.80",-0.04079999999999995,3969,7518.606,545.8977,157.3752,7390.61,1.008033181166288,1.0014466828750428,1.0001035848623752,1.013705149992662
106,2020-11-16,774,774,5317,82.5,BEA,"438,652.50",-0.08420000000000005,3972,7614.482,546.7667,157.4725,7476.79,1.0127518319220346,1.0015918733491642,1.0006182676813118,1.0116607424826909
107,2020-11-20,775,775,7519,66.0,BEA,"496,254.00",-0.2,3976,7552.231,549.7987,158.2492,7336.76,0.997543334086223,1.0020874745331023,1.008162815454625,0.9932176865406953
108,2020-11-23,776,776,100,74.0,BEA,"7,400.00",0.12119999999999995,3979,7573.101,548.5965,158.2994,7378.94,1.0027634218285961,0.9978133815158164,1.0003172211929032,1.0057491317693368
109,2020-11-26,777,777,105,88.8,BEA,"9,324.00",0.2,3982,7702.493,550.0528,159.6807,7486.68,1.0002286795592938,1.0005821009770566,1.0,1.0
110,2020-12-01,778,778,3900,71.0,BEA,"276,900.00",-0.2005,3987,7760.374,550.69,159.1436,7556.51,1.0101043311993305,0.9988576503147539,1.0025715750865907,1.0113021041051597
111,2020-12-02,779,779,2000,71.8,BEA,"143,600.00",0.011300000000000088,3988,7775.396,550.9687,159.0292,7570.76,1.0019357314479946,1.0005060923568614,0.99928115236805,1.0018857911919656
112,2020-12-03,780,780,10000,71.1,BEA,"711,000.00",-0.009700000000000042,3989,7798.0830000000005,554.0076,158.1093,7567.44,1.0029177935117388,1.0055155583248196,0.9942155277144071,0.9995614707109985
113,2020-12-04,781,781,12533,69.75,BEA,"874,155.70",-0.019000000000000017,3990,7852.99,553.0064,158.6061,7634.77,1.0070410894574986,0.9981928045752441,1.0031421301593266,1.0088973285549672
114,2020-12-07,782,782,7885,62.58,BEA,"493,413.20",-0.1028,3993,7841.875,553.7585,157.8423,7620.0,0.9985846155413416,1.0013600204265267,0.9951842961903735,0.9980654296069167
115,2020-12-08,783,783,1000,75.0,BEA,"75,000",0.1984999999999999,3994,7860.409000000001,554.1696,157.2727,7641.43,1.002363465370208,1.0007423813810532,0.9963913348956521,1.0028123359580052
116,2020-12-09,784,784,100,90.0,BEA,"9,000.00",0.2,3995,7817.46,553.4397,157.857,7581.06,0.9945360349569595,0.9986828941897933,1.0037152029563936,0.992099646270397
117,2020-12-14,785,785,121,91.01,BEA,"11,012.00",0.0112000000000001,4000,7794.463000000001,555.0635,160.5002,7530.87,0.9991439713754694,1.0002566130572434,1.004244727565326,0.9958227878230099
118,2020-12-15,786,786,2942,87.45,BEA,"257,275.00",-0.03910000000000002,4001,7866.855,555.5013,161.6163,7628.28,1.0092876186595534,1.0007887385857654,1.006953885415719,1.0129347605256762
119,2020-12-16,787,787,1042,72.8,BEA,"75,857.60",-0.16749999999999998,4002,7899.789000000001,555.9919,162.2834,7641.82,1.0041864251978714,1.000883166250016,1.004127677715676,1.0017749741750435
120,2020-12-17,788,788,15145,75.68,BEA,1146189.80,0.03960000000000008,4003,7960.246,557.5698,164.0736,7686.18,1.0076529892127497,1.0028379909851204,1.0110313192846587,1.0058048998798717
121,2020-12-18,789,789,5205,64.7,BEA,"336,763.50",-0.1451,4004,7935.059,556.7043,165.0604,7659.75,0.9968359018050448,0.9984477279795283,1.0060143740370175,0.9965613607799974
122,2020-12-21,790,790,1000,75.0,BEA,"75,000.00",0.1592,4007,7871.718000000001,555.9866,164.3014,7630.07,0.9920175766809044,0.9987108057185834,0.9954016832626118,0.9961251999086131
123,2020-12-22,791,791,3400,85.0,BEA,"289,000.00",0.13329999999999995,4008,7866.351,555.6922,163.4217,7614.83,0.9993181920388915,0.9994704908355705,0.994645815556045,0.9980026395563868
124,2020-12-23,792,792,2323,84.0,BEA,"195,132.00",-0.011800000000000031,4009,7891.298000000001,555.4962,164.4411,7620.63,1.0031713560709408,0.9996472867533504,1.0062378496858129,1.0007616716328533
125,2020-12-29,793,793,1000,75.0,BEA,"75,000.00",-0.10709999999999996,4015,7983.967,557.4482,164.6127,7697.93,1.002093183504052,1.002932974462864,1.0079077302885355,0.9977744941737632
126,2020-12-30,794,794,500,80.0,BEA,"40,000.00",0.06669999999999998,4016,7996.331,558.9703,165.644,7709.1,1.0015486035951802,1.0027304779170512,1.0062650087143945,1.0014510394352767
127,2021-01-12,795,795,21,59.7,BEA,1253.70,-0.25370000000000004,4029,8142.943,553.3005,172.1255,7856.72,1.0015939760767056,0.9998863314776513,1.0143072147160597,1.0004163775156143
128,2021-01-13,796,796,2338,47.8,BEA,"111,756.40",-0.19930000000000006,4030,8159.298000000001,555.2697,172.1013,7874.75,1.0020084875947186,1.0035590063627267,0.9998594049109517,1.0022948507774236
129,2021-01-15,797,797,10370,38.44,BEA,"398,656.80",-0.1958,4032,8085.246999999999,554.1684,171.7682,7789.79,0.9915065374277071,0.9985165543917143,0.9906642312654532,0.9928231860414728
130,2021-01-18,798,798,12520,40.93,BEA,"512,431.30",0.06479999999999997,4035,8081.521,553.6446,171.7682,7789.79,0.9995391606465456,0.9990547999488963,1.0,1.0
131,2021-01-19,799,799,7586,42.81,BEA,"324,722.00",0.04590000000000005,4036,8138.257,554.6504,170.8998,7853.47,1.0070204606286366,1.001816688901147,0.9949443494197412,1.0081748031718443
132,2021-01-22,800,800,13,36.0,BEA,468.00,-0.15910000000000002,4039,8207.683,554.7533,168.8999,7942.2,0.996425210774288,0.9995396469389315,0.9853429421342577,0.9969985350440805
133,2021-01-25,801,801,11531,45.04,BEA,"519,315.40",0.2511000000000001,4042,8211.412,555.3268,170.745,7970.92,1.0004543304121272,1.001033792858916,1.0109242219800012,1.0036161265140642
134,2021-01-26,802,802,4,48.75,BEA,195.00,0.08240000000000003,4043,8203.235,555.8737,171.8201,7959.1,0.9990041907530642,1.0009848255117526,1.0062965240563413,0.9985171096937367
135,2021-02-01,803,803,1705,46.4,BEA,"79,112.00",-0.04820000000000002,4049,8036.698,552.5796,174.2056,7804.31,1.0135987766234176,0.9977878483154802,1.0187092631729142,1.0160525764189865
136,2021-02-02,804,804,2073,38.5,BEA,"79,810.50",-0.1703,4050,8138.245,551.1576,173.4993,7912.87,1.0126354132007946,0.9974266150976258,0.9959455953195534,1.0139102624062857
137,2021-02-03,805,805,4544,46.2,BEA,"209,932.80",0.2,4051,8156.065,550.607,174.6601,7920.85,1.002189661284466,0.9990010116888527,1.0066905169069846,1.0010084836475261
