Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2014-11-21,TJEA14,100,"2,496",24.96
2014-11-20,TJEA14,80,"1,988",24.85
2014-11-19,TJEA14,100,"2,503",25.03
2014-11-18,TJEA14,440,"11,043",25.10
2014-11-17,TJEA14,700,"17,902",25.57
2014-11-14,TJEA14,340,"8,720",25.65
2014-11-13,TJEA14,120,"3,092",25.77
2014-11-12,TJEA14,100,"2,620",26.20
2014-11-11,TJEA14,560,"15,212",27.16
2014-11-10,TJEA14,100,"2,700",27.00
2014-11-07,TJEA14,"1,040","26,680",25.65
2014-11-06,TJEA14,680,"18,932",27.84
2014-12-31,TJEA14,60,"1,515",25.25
2014-12-30,TJEA14,160,"4,035",25.22
2014-12-29,TJEA14,100,"2,526",25.26
2014-12-26,TJEA14,260,"6,570",25.27
2014-12-25,TJEA14,240,"6,059",25.25
2014-12-24,TJEA14,220,"5,543",25.20
2014-12-23,TJEA14,240,"6,040",25.17
2014-12-22,TJEA14,220,"5,526",25.12
2014-12-19,TJEA14,340,"8,589",25.26
2014-12-18,TJEA14,280,"7,209",25.75
2014-12-17,TJEA14,220,"5,598",25.45
2014-12-16,TJEA14,120,"3,051",25.43
2014-12-15,TJEA14,580,"14,643",25.25
2014-12-12,TJEA14,100,"2,522",25.22
2014-12-11,TJEA14,60,"1,506",25.10
2014-12-10,TJEA14,60,"1,506",25.10
2014-12-09,TJEA14,100,"2,500",25.00
2014-12-08,TJEA14,220,"5,537",25.17
2014-12-05,TJEA14,60,"1,512",25.20
2014-12-04,TJEA14,640,"16,220",25.34
2015-01-30,TJEA14,180,"4,492",24.96
2015-01-29,TJEA14,160,"4,005",25.03
2015-01-28,TJEA14,620,"15,420",24.87
2015-01-27,TJEA14,440,"10,823",24.60
2015-01-26,TJEA14,160,"4,006",25.04
2015-01-23,TJEA14,340,"8,369",24.62
2015-01-22,TJEA14,100,"2,513",25.13
2015-01-21,TJEA14,260,"6,535",25.13
2015-01-20,TJEA14,220,"5,525",25.12
