,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
1319,2015-07-02,GDEA,15.5,15.44,17,14.4,-0.06,-0.39,342340,5287140
1320,2015-07-01,GDEA,16,15.5,15.5,15.5,-0.5,-3.12,95000,1472500
1321,2015-06-30,GDEA,15.28,16,16,16,0.72,4.71,13000,208000
1322,2015-06-29,GDEA,14,15.28,15.3,12.6,1.28,9.14,40444,618105.6
1323,2015-06-26,GDEA,15.49,14,14,14,-1.49,-9.62,25,350
1324,2015-06-25,GDEA,14.91,15.49,16.4,13.42,0.58,3.89,140672,2178957.71
1325,2015-06-24,GDEA,14.72,14.91,15,13.25,0.19,1.29,211,3145.75
1326,2015-06-23,GDEA,16.35,14.72,14.72,14.72,-1.63,-9.97,15,220.8
1327,2015-06-19,GDEA,18.17,16.35,16.35,16.35,-1.82,-10.02,2030,33190.5
1328,2015-06-18,GDEA,17.47,18.17,19.21,16.6,0.7,4.01,493369,8417810.96
1329,2015-06-17,GDEA,17.72,17.47,19,17,-0.25,-1.41,477909,8045447.34
1330,2015-06-16,GDEA,17.22,17.72,18.8,16.7,0.5,2.9,418,7406
1331,2015-06-15,GDEA,17.87,17.22,17.48,16.08,-0.65,-3.64,9202,158480.86
1332,2015-06-12,GDEA,16.99,17.87,17.99,16.97,0.88,5.18,9020,161229.4
1333,2015-06-11,GDEA,17.71,16.99,16.99,16.99,-0.72,-4.07,92,1563.08
1334,2015-06-10,GDEA,18,17.71,19.8,17,-0.29,-1.61,67,1186.6
1335,2015-06-09,GDEA,19.8,18,21.78,17.82,-1.8,-9.09,141378,2526798.06
1336,2015-06-08,GDEA,18,19.8,19.8,19,1.8,10,125001,2475019
1337,2015-06-04,GDEA,17.66,18,18,18,0.34,1.93,8826,158868
1338,2015-06-03,GDEA,16.5,17.66,18,17.5,1.16,7.03,4459,78762
1339,2015-06-02,GDEA,18.22,16.5,16.5,16.5,-1.72,-9.44,17,280.5
1340,2015-06-01,GDEA,16.56,18.22,18.22,18.22,1.66,10.02,16,291.52
1341,2015-05-29,GDEA,17,16.56,17,16.4,-0.44,-2.59,1155,19254.6
1342,2015-05-28,GDEA,17.3,17,19.03,16,-0.3,-1.73,1070,18186.09
1343,2015-05-27,GDEA,19.1,17.3,21.01,17.19,-1.8,-9.42,350,6054.7
1344,2015-05-26,GDEA,20.97,18.96,23.07,18.87,-2.01,-9.59,2161,40832.67
1345,2015-05-25,GDEA,19.06,20.97,20.97,17.15,1.91,10.02,1571,26984.67
1346,2015-05-22,GDEA,21.17,19.06,23,19.05,-2.11,-9.97,401,7643
1347,2015-05-21,GDEA,23.52,21.17,21.17,21.17,-2.35,-9.99,12,254.04
1348,2015-05-20,GDEA,22.6,23.52,24.8,20.34,0.92,4.07,6635,137015.65
1349,2015-05-19,GDEA,24.2,22.6,26.62,21.8,-1.6,-6.61,1200,27124
1350,2015-05-15,GDEA,26.8,24.2,24.2,24.2,-2.6,-9.7,200,4840
1351,2015-05-12,GDEA,29.68,26.8,26.8,26.8,-2.88,-9.7,100,2680
1352,2015-05-11,GDEA,32.98,29.68,29.68,29.68,-3.3,-10.01,100,2968
1353,2015-05-06,GDEA,29.98,32.98,32.98,32.98,3,10.01,2,65.96
1354,2015-05-05,GDEA,28.39,29.98,30,26,1.59,5.6,48300,1447800
1355,2015-05-04,GDEA,25.81,28.39,28.39,28.39,2.58,10,2000,56780
1356,2015-04-30,GDEA,23.46,25.81,25.81,25,2.35,10.02,1201,30997
1357,2015-04-29,GDEA,26.02,23.46,23.5,23.42,-2.56,-9.84,380,8914
1358,2015-04-28,GDEA,23.65,26.02,26.02,26.02,2.37,10.02,800,20816
1359,2015-04-27,GDEA,23.82,23.65,26.2,21.44,-0.17,-0.71,28,662.2
1360,2015-04-24,GDEA,21.65,23.82,23.82,21.65,2.17,10.02,1529,33319.85
1361,2015-04-23,GDEA,21.8,21.65,23.98,19.62,-0.15,-0.69,1171,23485.14
1362,2015-04-22,GDEA,19.82,21.8,21.8,17.84,1.98,9.99,26690,477515.66
1363,2015-04-21,GDEA,18.19,19.82,20.01,16.37,1.63,8.96,4276,70043.51
1364,2015-04-20,GDEA,20.21,18.19,18.19,18.19,-2.02,-10,5,90.95
1365,2015-04-17,GDEA,20.97,20.21,22.89,18.87,-0.76,-3.62,1022,19337.4
1366,2015-04-16,GDEA,19.06,20.97,20.97,17.15,1.91,10.02,100451,1722772.85
1367,2015-04-15,GDEA,20.14,19.06,22.1,18.13,-1.08,-5.36,3898,71145.44
1368,2015-04-14,GDEA,22.38,20.14,20.7,20.14,-2.24,-10.01,15328,308780.6
1369,2015-04-13,GDEA,24.87,22.38,22.38,22.38,-2.49,-10.01,5000,111900
1370,2015-04-10,GDEA,27.63,24.87,24.87,24.87,-2.76,-9.99,5926,147379.62
1371,2015-04-09,GDEA,30.7,27.63,27.63,27.63,-3.07,-10,50,1381.5
1372,2015-04-08,GDEA,34.11,30.7,30.7,30.7,-3.41,-10,152,4666.4
1373,2015-04-07,GDEA,31.01,34.11,34.11,34.11,3.1,10,5,170.55
1374,2015-04-03,GDEA,28.19,31.01,31.01,31.01,2.82,10,5,155.05
1375,2015-04-02,GDEA,30.98,28.19,34.08,27.9,-2.79,-9.01,3215,108334.4
1376,2015-04-01,GDEA,28.16,30.98,30.98,25.34,2.82,10.01,610,15513.8
1377,2015-03-31,GDEA,29.89,28.16,32.88,26.9,-1.73,-5.79,10,281.56
1378,2015-03-30,GDEA,32.54,29.89,29.89,29.89,-2.65,-8.14,500,14945
1379,2015-03-27,GDEA,29.58,32.54,32.54,32.54,2.96,10.01,10,325.4
1380,2015-03-26,GDEA,28.82,29.58,31.7,29.49,0.76,2.64,58500,1730690
1381,2015-03-25,GDEA,26.2,28.82,28.82,23.58,2.62,10,728,19409
1382,2015-03-24,GDEA,24.62,26.2,27,22.17,1.58,6.42,145,3800.4
1383,2015-03-23,GDEA,23.31,24.62,25.6,20.98,1.31,5.62,5967,144095.53
1384,2015-03-20,GDEA,21.29,23.31,23.31,23.3,2.02,9.49,2600,60595
1385,2015-03-19,GDEA,20.2,21.29,22.2,20.98,1.09,5.4,103353,1889458.14
1386,2015-03-18,GDEA,20.61,20.2,20.2,20.2,-0.41,-1.99,2626,53045.2
1387,2015-03-17,GDEA,20.7,20.61,21.1,20.6,-0.09,-0.43,846,17437.7
