,Unnamed: 0,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
188,188,2020-09-08,GDEA,27.81,27.54,28.18,25.06,-0.27,-0.0097,67679,1863576.77
187,187,2020-09-09,GDEA,27.54,27.86,27.99,27.52,0.32,0.0116,38791,1080766.09
186,186,2020-09-10,GDEA,27.86,27.87,28.0,27.5,0.01,0.0004,8863,246981.6
185,185,2020-09-11,GDEA,27.87,28.05,28.12,27.8,0.18,0.006500000000000001,114991,3225804.6
184,184,2020-09-14,GDEA,28.05,27.35,28.08,27.1,-0.7,-0.025,122134,3340397.22
183,183,2020-09-15,GDEA,27.35,28.01,28.12,27.7,0.66,0.024100000000000003,138365,3875170.26
182,182,2020-09-16,GDEA,28.01,27.67,28.06,27.6,-0.34,-0.0121,115047,3183868.96
181,181,2020-09-17,GDEA,27.67,28.0,28.03,27.15,0.33,0.011899999999999999,106273,2975892.1
180,180,2020-09-18,GDEA,28.0,27.57,28.0,27.55,-0.43,-0.0154,214004,5782330.39
179,179,2020-09-21,GDEA,27.57,27.89,27.93,27.7,0.32,0.0116,116888,3260171.51
178,178,2020-09-22,GDEA,27.89,27.31,27.99,27.31,-0.58,-0.020800000000000003,90298,2466178.82
177,177,2020-09-23,GDEA,27.31,27.99,27.99,27.46,0.68,0.024900000000000002,98532,2757787.12
176,176,2020-09-24,GDEA,27.99,27.41,27.99,27.41,-0.58,-0.0207,97618,2675719.82
175,175,2020-09-25,GDEA,27.41,27.97,28.19,27.7,0.56,0.0204,115573,3233111.87
174,174,2020-09-28,GDEA,27.97,27.5,30.3,27.02,-0.47,-0.0168,266122,6696546.74
173,173,2020-09-29,GDEA,27.5,27.84,27.99,27.22,0.34,0.0124,353641,10061993.62
172,172,2020-09-30,GDEA,27.84,27.53,27.98,27.02,-0.31,-0.0111,481,13241.66
171,171,2020-10-09,GDEA,27.53,27.24,28.08,25.0,-0.29,-0.0105,435702,11165113.24
170,170,2020-10-12,GDEA,27.24,27.84,27.99,27.01,0.6,0.022000000000000002,119170,3317553.09
169,169,2020-10-13,GDEA,27.84,28.42,28.5,27.02,0.58,0.020800000000000003,321342,8150664.9
168,168,2020-10-14,GDEA,28.42,27.45,27.9,27.06,-0.97,-0.034100000000000005,147142,4039261.29
167,167,2020-10-15,GDEA,27.45,27.11,27.68,27.02,-0.34,-0.0124,41321,1120320.48
166,166,2020-10-16,GDEA,27.11,27.78,27.78,27.78,0.67,0.024700000000000003,363998,8930671.64
165,165,2020-10-19,GDEA,27.78,27.22,27.9,27.11,-0.56,-0.0202,315654,7915710.94
164,164,2020-10-20,GDEA,27.22,27.89,27.9,27.88,0.67,0.0246,102647,3087728.74
163,163,2020-10-21,GDEA,27.89,27.48,27.9,27.11,-0.41,-0.0147,168494,4630328.76
162,162,2020-10-22,GDEA,27.48,27.88,27.88,27.88,0.4,0.0146,200388,5067817.44
161,161,2020-10-23,GDEA,27.88,27.5,27.9,27.11,-0.38,-0.013600000000000001,166163,4569548.4
160,160,2020-10-26,GDEA,27.5,27.5,27.89,27.5,0.0,0.0,38083,1047434.89
159,159,2020-10-27,GDEA,27.5,27.21,27.9,26.0,-0.29,-0.0105,51304,1335480.13
158,158,2020-10-28,GDEA,27.21,27.34,27.9,27.21,0.13,0.0048,12540,342822.4
157,157,2020-10-29,GDEA,27.34,27.49,27.5,27.36,0.15,0.0055000000000000005,13278,364987.5
156,156,2020-10-30,GDEA,27.49,27.47,27.5,27.21,-0.02,-0.0007000000000000001,1939,53258.12
155,155,2020-11-02,GDEA,27.47,27.81,28.0,27.21,0.34,0.0124,196359,5459788.51
154,154,2020-11-03,GDEA,27.81,27.89,27.89,27.89,0.08,0.0029,999,27862.11
153,153,2020-11-04,GDEA,27.89,27.21,27.21,27.21,-0.68,-0.0244,1000,27210.0
152,152,2020-11-05,GDEA,27.21,27.68,27.89,27.55,0.47,0.0173,6020,166625.0
151,151,2020-11-06,GDEA,27.68,27.4,27.89,27.23,-0.28,-0.0101,2475,67813.07
150,150,2020-11-09,GDEA,27.4,27.49,27.88,26.9,0.09,0.0033000000000000004,55812,1567009.2
149,149,2020-11-10,GDEA,27.49,27.39,27.9,26.8,-0.1,-0.0036,31800,870913.0
148,148,2020-11-11,GDEA,27.39,27.83,27.9,26.88,0.44,0.0161,92555,2562974.95
147,147,2020-11-12,GDEA,27.83,27.79,27.91,27.5,-0.04,-0.0014000000000000002,134996,3758823.66
146,146,2020-11-13,GDEA,27.79,27.79,27.92,26.7,0.0,0.0,129220,3591004.07
145,145,2020-11-14,GDEA,27.79,27.8,28.08,27.8,0.01,0.0004,20687,575285.08
144,144,2020-11-15,GDEA,27.8,28.06,28.06,26.88,0.26,0.0094,1166,31932.08
