,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
173,2014-12-05,3500,53.0,,"185,500.00",0.0013000000000000789
174,2014-12-08,10700,52.35,,"560,100.00",-0.012299999999999978
175,2014-12-09,300,52.5,,"15,750.00",0.0028999999999999027
176,2014-12-10,800,52.8,,"42,240.00",0.005700000000000038
177,2014-12-11,1300,52.12,,"67,750.00",-0.012900000000000023
178,2014-12-12,2100,52.29,,"109,800.00",0.0033000000000000806
179,2014-12-15,300,52.5,,"15,750.00",0.0040000000000000036
180,2014-12-16,1800,52.89,,"95,200.00",0.007400000000000073
181,2014-12-17,1800,52.5,,"94,500.00",-0.007399999999999962
182,2014-12-18,2700,52.31,,"141,250.00",-0.0036000000000000476
183,2014-12-19,1500,52.93,,"79,400.00",0.011900000000000022
184,2014-12-22,500,52.8,,"26,400.00",-0.0024999999999999467
185,2014-12-23,1800,53.0,,"95,400.00",0.0038000000000000256
186,2014-12-24,1200,53.0,,"63,600.00",0.0
187,2014-12-26,1200,53.53,,"64,240.00",0.010000000000000009
188,2014-12-29,2100,53.43,,"112,200.00",-0.0019000000000000128
189,2015-01-07,5200,53.02,,"275,700.00",-0.00770000000000004
190,2015-01-09,3500,52.43,,"183,500.00",-0.011099999999999999
191,2015-01-13,1000,53.0,,"53,000.00",0.01089999999999991
192,2015-01-15,600,55.0,,"33,000.00",0.03770000000000007
193,2015-01-16,4500,53.82,,"242,200.00",-0.021499999999999964
194,2015-01-19,1000,54.0,,"54,000.00",0.0033000000000000806
195,2015-01-22,11500,52.22,,"600,500.00",-0.03300000000000003
196,2015-01-23,1600,54.56,,"87,290.00",0.04479999999999995
197,2015-01-26,1100,53.59,,"58,950.00",-0.017800000000000038
198,2015-01-27,4000,53.0,,"212,000.00",-0.01100000000000001
199,2015-01-29,1000,53.0,,"53,000",0.0
200,2015-01-30,500,53.0,,"26,500.00",0.0
201,2015-02-02,300,54.0,,"16,200.00",0.018899999999999917
202,2015-02-03,400,54.5,,"21,800.00",0.009300000000000086
203,2015-02-04,1000,53.0,,"53,000.00",-0.02749999999999997
