Date,Settlement Volume (ton),Settlement Price (yuan/ton),Turnover (yuan)
2014-04-18,4000,52.00,"208,000.00"
2014-04-17,800,55.38,"44,300.00"
2014-04-16,900,53.51,"48,160.00"
2014-04-15,100,57.00,"5,700.00"
2014-04-14,1000,57.29,"57,290.00"
2014-09-26,10000,51.00,"510,000.00"
2014-09-24,200,52.00,"10,400.00"
2014-09-18,10000,51.00,"510,000.00"
2014-09-16,600,53.40,"32,040.00"
2014-09-15,100,50.00,"5,000.00"
2014-09-12,600,53.60,"32,160.00"
2014-09-11,400,53.50,"21,400.00"
2014-09-09,600,53.00,"31,800.00"
2014-09-05,1000,53.00,"53,000.00"
2014-09-02,450,53.50,"24,075.00"
2014-08-29,500,53.00,"26,500.00"
2014-08-26,1700,54.60,"92,820.00"
2014-08-21,7000,48.00,"336,000.00"
2014-08-20,2400,50.00,"120,000.00"
2014-08-19,3903,55.00,"214,665.00"
2015-01-22,11500,52.22,"600,500.00"
2015-01-21,1000,38.00,"38,000.00 (林业碳汇)"
2015-01-20,2000,38.00,"76,000.00(林业碳汇)"
2015-01-20,2500,53.96,"134,900.00(BEA)"
2015-01-19,1000,54.00,"54,000.00"
2015-01-16,4500,53.82,"242,200.00"
2015-01-15,600,55.00,"33,000.00"
2015-01-14,500,38.00,"19,000.00（林业碳汇）"
2015-01-13,1000,53.00,"53,000.00"
2015-01-12,1500,53.50,"80,250.00 (BEA)"
2015-01-12,2958,38.00,"112,404.00 (林业碳汇)"
2015-01-09,3500,52.43,"183,500.00"
2015-01-08,2000,53.50,"107,000.00 (BEA)"
2015-01-08,2500,38.00,"95,000.00 (林业碳汇)"
2015-01-07,5200,53.02,"275,700.00"
2015-02-11,10000,36.00,"360,000.00 (林业碳汇)"
2015-02-10,20002,36.00,"720,072.00(林业碳汇)"
2015-02-10,7300,52.04,"379,900.00( BEA )"
2015-02-09,2100,53.07,"111,450.00（BEA）"
2015-02-09,19998,36.00,"719,928.00(林业碳汇)"
2015-02-06,1300,53.92,"70,100.00"
2015-02-05,800,54.00,"43,200.00"
2015-02-04,1000,53.00,"53,000.00"
2015-02-03,400,54.50,"21,800.00"
2015-02-02,300,54.00,"16,200.00"
2015-01-30,500,53.00,"26,500.00"
2015-01-29,1000,53.00,"53,000"
2015-01-27,4000,53.00,"212,000.00"
2015-01-26,1100,53.59,"58,950.00"
2015-01-23,1600,54.56,"87,290.00"
2015-01-06,1000,54.00,"54,000.00 (BEA)"
2015-01-06,5514,38.00,"209,532.00 (林业碳汇)"
2014-12-31,3100,54.19,"168,000.00 (BEA)"
2014-12-31,100,38.00,"3,800.00 (林业碳汇)"
2014-12-30,4400,53.45,"235,200.00 (BEA)"
2014-12-30,3450,38.00,"131,100.00 (林业碳汇)"
2014-12-29,2100,53.43,"112,200.00"
2014-12-26,1200,53.53,"64,240.00"
2014-12-24,1200,53.00,"63,600.00"
2014-12-23,1800,53.00,"95,400.00"
2014-12-22,500,52.80,"26,400.00"
2014-12-19,1500,52.93,"79,400.00"
2014-12-18,2700,52.31,"141,250.00"
2014-12-17,1800,52.50,"94,500.00"
2014-12-16,1800,52.89,"95,200.00"
2015-03-17,5580,52.00,"290,160.00"
2015-03-13,2600,50.92,"132,400.00"
2015-03-12,5080,51.16,"259,892.00"
2015-03-11,8900,51.99,"462,700.00"
2015-03-10,5300,51.88,"274,950.00"
2015-03-09,100,54.50,"5,450.00"
2015-03-06,1800,54.50,"98,100.00"
2015-03-05,7100,52.50,"372,750.00"
2015-03-03,1000,51.50,"51,500.00"
2015-03-02,1700,52.00,"88,400.00"
2015-02-26,50,54.50,"2,725.00"
2015-02-25,2050,51.55,"105,675.00"
2015-02-16,1000,51.00,"51,000.00"
2015-02-13,22290,53.13,"1,184,373.00"
2015-02-12,4000,53.10,"212,400.00"
2015-04-27,5396,50.70,"273,604.00"
2015-04-24,12521,50.28,"629,590.00"
2015-04-23,4894,50.83,"248,775.20"
2015-04-22,539,50.00,"26,950.00"
2015-04-21,4817,51.58,"248,449.00"
2015-04-20,10,51.00,510.00
2015-04-17,2600,51.00,"132,600.00"
2015-04-16,3200,50.80,"162,560.00"
2015-04-15,8350,50.71,"423,435.00"
2015-04-14,3000,50.90,"152,700.00"
2015-04-13,8782,51.14,"449,101.20(BEA)"
2015-04-13,727,48.00,"34,896.00(林业碳汇)"
2015-04-10,490,52.00,"25,480.00"
2015-04-09,1000,52.00,"52,000.00"
2015-04-08,16000,50.39,"806,300.00"
2015-05-20,16713,47.35,"791,386.00"
2015-05-19,4100,45.80,"187,780.00"
2015-05-18,9426,48.35,"455,771.50"
2015-05-15,20747,48.10,"997,979.40"
2015-05-14,8015,47.68,"382,174.00"
2015-05-13,5000,48.60,"243,000.00"
2015-05-12,5600,47.83,"267,840.00"
2015-05-11,15834,50.15,"794,131.80"
2015-05-08,1560,50.20,"78,312.00"
2015-05-07,2938,49.95,"146,746.20"
2015-05-06,2605,50.46,"131,442.00"
2015-05-05,1800,50.11,"90,200.00"
2015-05-04,16706,50.17,"838,059.00"
2015-04-30,6801,50.45,"343,141.00"
2015-04-28,21838,50.59,"1,104,799.00"
2015-04-07,5000,51.00,"255,000.00"
2015-04-03,1082,51.00,"55,182.00"
2015-04-02,6000,51.00,"306,000.00"
2015-04-01,9059,50.45,"457,038.00"
2015-03-31,4440,50.00,"222,000.00"
2015-03-30,1800,50.00,"90,000.00 (BEA)"
2015-03-30,242,48.00,"11,616.00 (林业碳汇)"
2015-03-27,9000,50.26,"452,296.10"
2015-03-26,141,52.00,"7,332.00"
2015-03-25,3303,51.09,"168,756.00"
2015-03-24,15680,51.12,"801,510.00"
2015-03-23,4200,51.52,"216,400.00"
2015-03-20,2560,52.00,"133,120.00"
2015-03-19,5530,51.04,"282,230.00"
2015-03-18,10000,51.50,"515,000.00"
2015-06-05,49442,46.39,"2,293,520.10(BEA)"
2015-06-05,2083,20.23,"42,145.00(CCER)"
2015-06-04,69058,46.36,"3,201,659.80(BEA)"
2015-06-04,1479,18.00,"26,622.00(CCER)"
2015-06-03,18117,46.88,"849,240.90（BEA）"
2015-06-02,16798,46.55,"781,895.30（BEA）"
2015-06-02,850,22.00,"18,700（CCER）"
2015-06-01,43334,46.79,"2,027,607.60"
2015-05-29,56295,46.76,"2,632,406.60"
2015-05-28,12667,46.87,"593,748.90"
2015-05-27,46359,47.22,"2,188,935.10"
